seed,case_id,strategy,noise_rate,true_diagnosis,predicted_diagnosis,correct_top1,correct_top3,confidence,brier_score,new_questions,verification_questions,total_atomic_questions,interaction_turns,unnecessary_verifications,resolved_wrong_reports,premature_stop,uncertain_output,stop_reason
2026,influenza-0,random_reliable,0.0,influenza,influenza,1,1,0.885398948634893,0.024638896623871614,4,0,4,4,0,0,0,0,posterior_threshold
2026,influenza-0,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-0,full_two_layer,0.0,influenza,influenza,1,1,0.9173263284488358,0.012628327543761886,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-0,adaptive_history,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-0,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,"confidence, marginal utility, and report-risk checks passed"
2026,influenza-1,random_reliable,0.0,influenza,influenza,1,1,0.882372672557376,0.02483269109007798,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-1,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-1,full_two_layer,0.0,influenza,influenza,1,1,0.9173263284488358,0.012628327543761886,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-1,adaptive_history,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-1,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,"confidence, marginal utility, and report-risk checks passed"
2026,influenza-2,random_reliable,0.0,influenza,influenza,1,1,0.885398948634893,0.024638896623871614,4,0,4,4,0,0,0,0,posterior_threshold
2026,influenza-2,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.6123371422418095,0.25247078864583544,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-2,full_two_layer,0.0,influenza,influenza,1,1,0.5887522784820843,0.27295637401659273,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-2,adaptive_history,0.0,influenza,influenza,1,1,0.6123371422418095,0.25247078864583544,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-2,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.6123371422418095,0.25247078864583544,6,0,6,6,0,0,0,1,no positive-utility acquisition action or a reliability/safety check remains; return uncertainty
2026,influenza-3,random_reliable,0.0,influenza,influenza,1,1,0.882372672557376,0.02483269109007798,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-3,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.8655814555139504,0.035141428280956,5,0,5,5,0,0,0,0,posterior_threshold
2026,influenza-3,full_two_layer,0.0,influenza,influenza,1,1,0.8519241973758845,0.0419435374227996,5,0,5,5,0,0,0,0,posterior_threshold
2026,influenza-3,adaptive_history,0.0,influenza,influenza,1,1,0.8655814555139504,0.035141428280956,5,0,5,5,0,0,0,0,posterior_threshold
2026,influenza-3,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.8655814555139504,0.035141428280956,5,0,5,5,0,0,0,0,"confidence, marginal utility, and report-risk checks passed"
2026,influenza-4,random_reliable,0.0,influenza,influenza,1,1,0.882372672557376,0.02483269109007798,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-4,ordinary_eig_reliable,0.0,influenza,common_cold,0,1,0.6034969691582425,0.7572243723723735,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-4,full_two_layer,0.0,influenza,common_cold,0,1,0.5769214146179826,0.7078619900222118,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-4,adaptive_history,0.0,influenza,common_cold,0,1,0.6034969691582425,0.7572243723723735,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-4,joint_new_verify_stop,0.0,influenza,common_cold,0,1,0.6034969691582425,0.7572243723723735,6,1,7,7,1,0,0,1,no positive-utility acquisition action or a reliability/safety check remains; return uncertainty
2026,influenza-5,random_reliable,0.0,influenza,influenza,1,1,0.882372672557376,0.02483269109007798,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-5,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.8655814555139504,0.035141428280956,5,0,5,5,0,0,0,0,posterior_threshold
2026,influenza-5,full_two_layer,0.0,influenza,influenza,1,1,0.8519241973758845,0.0419435374227996,5,0,5,5,0,0,0,0,posterior_threshold
2026,influenza-5,adaptive_history,0.0,influenza,influenza,1,1,0.8655814555139504,0.035141428280956,5,0,5,5,0,0,0,0,posterior_threshold
2026,influenza-5,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.8655814555139504,0.035141428280956,5,0,5,5,0,0,0,0,"confidence, marginal utility, and report-risk checks passed"
2026,influenza-6,random_reliable,0.0,influenza,influenza,1,1,0.882372672557376,0.02483269109007798,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-6,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-6,full_two_layer,0.0,influenza,influenza,1,1,0.9173263284488358,0.012628327543761886,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-6,adaptive_history,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-6,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.9323870723041389,0.008764059380354478,2,0,2,2,0,0,0,0,"confidence, marginal utility, and report-risk checks passed"
2026,influenza-7,random_reliable,0.0,influenza,influenza,1,1,0.882372672557376,0.02483269109007798,2,0,2,2,0,0,0,0,posterior_threshold
2026,influenza-7,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.9406870570498168,0.005934338188725892,3,0,3,3,0,0,0,0,posterior_threshold
2026,influenza-7,full_two_layer,0.0,influenza,influenza,1,1,0.9208231150547012,0.010208672217724672,3,0,3,3,0,0,0,0,posterior_threshold
2026,influenza-7,adaptive_history,0.0,influenza,influenza,1,1,0.896686474805111,0.018758719068989536,4,0,4,4,0,0,0,0,posterior_threshold
2026,influenza-7,joint_new_verify_stop,0.0,influenza,influenza,1,1,0.896686474805111,0.018758719068989536,4,0,4,4,0,0,0,0,"confidence, marginal utility, and report-risk checks passed"
2026,influenza-8,random_reliable,0.0,influenza,influenza,1,1,0.6555952527274731,0.21643489517490339,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-8,ordinary_eig_reliable,0.0,influenza,influenza,1,1,0.6555952527274732,0.21643489517490327,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-8,full_two_layer,0.0,influenza,influenza,1,1,0.6287222434186586,0.23996119885583722,6,0,6,6,0,0,0,0,no_questions_left
2026,influenza-8,adaptive_history,0.0,influenza,influenza,1,1,0.6555952527274732,0.21643489517490327,6,0,6,6,0,0,0,0,no_questions_left
